"movieid","movie_title","count_rating","rating","userid","genres"
110,Braveheart ,474,5.0,164,Action|Drama|War
110,Braveheart ,474,2.0,59,Action|Drama|War
110,Braveheart ,474,5.0,266,Action|Drama|War
110,Braveheart ,474,4.0,160,Action|Drama|War
110,Braveheart ,474,3.0,159,Action|Drama|War
110,Braveheart ,474,3.5,387,Action|Drama|War
110,Braveheart ,474,3.0,386,Action|Drama|War
110,Braveheart ,474,3.0,115,Action|Drama|War
110,Braveheart ,474,5.0,317,Action|Drama|War
110,Braveheart ,474,3.0,265,Action|Drama|War
110,Braveheart ,474,2.5,264,Action|Drama|War
110,Braveheart ,474,4.0,1,Action|Drama|War
110,Braveheart ,474,4.0,263,Action|Drama|War
110,Braveheart ,474,4.0,380,Action|Drama|War
110,Braveheart ,474,4.5,144,Action|Drama|War
110,Braveheart ,474,5.0,379,Action|Drama|War
110,Braveheart ,474,3.5,141,Action|Drama|War
110,Braveheart ,474,5.0,498,Action|Drama|War
110,Braveheart ,474,4.0,140,Action|Drama|War
110,Braveheart ,474,5.0,117,Action|Drama|War
110,Braveheart ,474,5.0,574,Action|Drama|War
110,Braveheart ,474,4.5,62,Action|Drama|War
110,Braveheart ,474,4.0,314,Action|Drama|War
110,Braveheart ,474,4.0,137,Action|Drama|War
110,Braveheart ,474,5.0,136,Action|Drama|War
110,Braveheart ,474,3.0,609,Action|Drama|War
110,Braveheart ,474,4.0,135,Action|Drama|War
110,Braveheart ,474,3.5,376,Action|Drama|War
110,Braveheart ,474,5.0,134,Action|Drama|War
110,Braveheart ,474,5.0,573,Action|Drama|War
110,Braveheart ,474,3.0,133,Action|Drama|War
110,Braveheart ,474,5.0,374,Action|Drama|War
110,Braveheart ,474,4.0,373,Action|Drama|War
110,Braveheart ,474,3.0,347,Action|Drama|War
110,Braveheart ,474,4.0,121,Action|Drama|War
110,Braveheart ,474,4.0,372,Action|Drama|War
110,Braveheart ,474,2.5,131,Action|Drama|War
110,Braveheart ,474,5.0,130,Action|Drama|War
110,Braveheart ,474,2.5,63,Action|Drama|War
110,Braveheart ,474,5.0,229,Action|Drama|War
110,Braveheart ,474,4.0,254,Action|Drama|War
110,Braveheart ,474,4.0,129,Action|Drama|War
110,Braveheart ,474,3.0,604,Action|Drama|War
110,Braveheart ,474,5.0,128,Action|Drama|War
110,Braveheart ,474,4.0,126,Action|Drama|War
110,Braveheart ,474,4.5,125,Action|Drama|War
110,Braveheart ,474,4.5,239,Action|Drama|War
110,Braveheart ,474,5.0,486,Action|Drama|War
110,Braveheart ,474,4.0,368,Action|Drama|War
110,Braveheart ,474,3.5,124,Action|Drama|War
110,Braveheart ,474,3.0,485,Action|Drama|War
110,Braveheart ,474,4.0,366,Action|Drama|War
110,Braveheart ,474,3.5,124,Action|Drama|War
110,Braveheart ,474,4.0,64,Action|Drama|War
