Unnamed: 0,userId,movieId,tag,time_stamp,result3
36,62,110,beautiful scenery,1528152541,beautiful
37,62,110,epic,1528152532,
38,62,110,historical,1528152523,historical
39,62,110,inspirational,1528152527,inspirational
40,62,110,Medieval,1528152528,
41,62,110,mel gibson,1528152521,
42,62,110,Oscar (Best Cinematography),1528152539,
43,62,110,revenge,1528152531,
44,62,110,sword fight,1528152535,
403,63,260,classic,1443199698,classic
404,63,260,space action,1443199710,
405,76,260,action,1439165594,
406,76,260,sci-fi,1439165588,
407,103,260,EPIC,1431954312,
408,103,260,great soundtrack,1431954337,great
409,103,296,good dialogue,1431954555,good
410,103,296,great soundtrack,1431954555,great
411,103,296,non-linear,1431954555,non-linear
414,112,260,classic sci-fi,1442535682,classic
415,112,260,engrossing adventure,1442535673,
416,112,260,EPIC,1442535666,
417,119,260,classic,1435942530,classic
418,119,260,Nerd,1435942520,
531,193,260,classic sci-fi,1435856940,classic
532,193,260,space action,1435856955,
533,193,260,space epic,1435856950,
551,205,260,oldie but goodie,1519899101,
552,205,260,sci-fi,1519899078,
553,205,260,Star Wars,1519899108,
563,289,527,moving,1143424895,
639,341,260,ROBOTS AND ANDROIDS,1439750956,
640,341,260,space,1439750961,
716,424,260,classic sci-fi,1457900772,classic
717,424,260,sci-fi,1457900766,
718,424,260,space adventure,1457900770,
719,424,260,Star Wars,1457900775,
726,424,296,cult film,1457844546,
727,424,296,drugs,1457844550,
728,424,296,Quentin Tarantino,1457844541,
729,424,296,Tarantino,1457844557,
731,424,527,thought-provoking,1457901041,
733,424,589,apocalypse,1457844854,
734,424,589,Arnold Schwarzenegger,1457844841,
735,424,589,nuclear war,1457844861,nuclear
736,424,589,sci-fi,1457844847,
737,424,589,Suspense,1457844864,
738,424,589,time travel,1457844843,
815,424,2571,martial arts,1457842912,martial
816,424,2571,sci-fi,1457842899,
1026,474,110,Scotland,1137180974,
1057,474,260,darth vader,1137206494,
1058,474,260,luke skywalker,1137206496,
1059,474,260,space opera,1137206504,
1073,474,296,hit men,1137205001,
1079,474,318,prison,1137205060,
1080,474,318,Stephen King,1137181171,
1081,474,318,wrongful imprisonment,1137205064,wrongful
1095,474,356,shrimp,1137375519,
1096,474,356,Vietnam,1137375519,
1117,474,480,Dinosaur,1137202921,
1134,474,527,Holocaust,1137180970,
1150,474,589,robots,1137206517,
1154,474,593,Hannibal Lector,1137180982,
1646,474,2571,alternate universe,1137204991,
2500,477,318,Morgan Freeman,1244566076,
2508,477,589,Scifi masterpiece,1201166474,
2509,477,593,disturbing,1241396359,
2510,477,593,drama,1241396391,
2511,477,593,gothic,1241396378,gothic
2512,477,593,psychology,1241396367,
2513,477,593,suspense,1241396389,
2782,533,356,bubba gump shrimp,1424753866,
2783,533,356,lieutenant dan,1424753866,lieutenant
2784,533,356,stupid is as stupid does,1424753866,stupid
2785,537,527,based on a true story,1424142072,true
2786,537,527,biography,1424142112,
2787,537,527,disturbing,1424142113,
2788,537,527,holocaust,1424142110,
2794,537,2571,philosophy,1424141098,
2795,537,2571,post apocalyptic,1424141101,apocalyptic
2890,567,356,bittersweet,1525287545,
2891,567,356,emotional,1525287537,emotional
2892,567,356,heartwarming,1525287541,
2893,567,356,touching,1525287539,
3378,599,296,1990s,1498456537,
3379,599,296,achronological,1498456475,achronological
3380,599,296,action,1498456356,
3381,599,296,action packed,1498456535,
3382,599,296,aggressive,1498456533,aggressive
3383,599,296,amazing,1498456678,
3384,599,296,amazing dialogues,1498456473,
3385,599,296,anthology,1498456531,
3386,599,296,assassin,1498456382,
3387,599,296,atmospheric,1498456376,atmospheric
3388,599,296,AWESOME,1498456559,
3389,599,296,bad ass,1498456471,bad
3390,599,296,bad language,1498456469,bad
3391,599,296,bad-ass,1498456676,
3392,599,296,bible,1498456675,bible
3393,599,296,biblical references,1498456529,biblical
3394,599,296,big boys with guns,1498456673,big
3395,599,296,big name actors,1498456671,big
3396,599,296,Black comedy,1498456350,
3397,599,296,black humor,1498456481,black
3398,599,296,black humour,1498456670,black
3399,599,296,blood,1498456448,
3400,599,296,blood splatters,1498456467,
3401,599,296,bloody,1498456431,
3402,599,296,bruce willis,1498456352,
3403,599,296,brutality,1498456543,
3404,599,296,casual violence,1498456669,casual
3405,599,296,character development,1498456527,
3406,599,296,characters,1498456466,
3407,599,296,classic,1498456360,classic
3408,599,296,classic movie,1498456667,classic
3409,599,296,coke,1498456666,
3410,599,296,comedy,1498456378,
3411,599,296,conversation,1498456524,
3412,599,296,cool,1498456405,
3413,599,296,cool style,1498456664,cool
3414,599,296,crime,1498456353,
3415,599,296,crime scene scrubbing,1498456663,
3416,599,296,cult,1498456391,
3417,599,296,cult classic,1498456522,classic
3418,599,296,cult film,1498456345,
3419,599,296,dance,1498456661,
3420,599,296,dancing,1498456464,
3421,599,296,dark,1498456404,
3422,599,296,dark comedy,1498456339,dark
3423,599,296,dark humor,1498456385,dark
3424,599,296,dialogue,1498456395,
3425,599,296,different,1498456660,different
3426,599,296,diner,1498456658,
3427,599,296,disjointed timeline,1498456444,
3428,599,296,disturbing,1498456521,
3429,599,296,drama,1498456561,
